episode,title,summary,song_recommendation
EP41,你要我做我自己但你可能不想做 ft.春艷,"春艷最有名是 很多跟他合作都紅很快 例：柯文哲
第一次拿到pay 是 Leo王 x 3小湯 x 春艷 - 種瓜得瓜種dope得dope (Audio)
Leo分五百塊給三小湯 春艷要繳房租所以不給
春艷做黑貓宅急便 送過統神
春艷全家小孩被他媽趕出門 因篤信佛法
聊佛法 渡眾生
故事：冥想 靠著冥想讓在監獄的生活好過一點 雞腿
逞誠相信眾志成城 集體意志
探索世界 健康是建立在你可以接受生活中發生的任何事情
熊仔跟春艷 diss RBL 老二哲學 
常在華山阿帕混
交大八社烤香腸
打架說要補習
倫跟春艷都認為別人的觀點對我不重要
吃飯聽兩個妹妹聊天 英國首相是英國女王的兒子嗎 不是啦 是親戚
https://www.facebook.com/permalink.php?story_fbid=3384452408235980&id=100000137611689
捷運上看到上班族看保母跟他兒子的監視錄影帶
一切慾望都是空 因為大學紅了 很渣 所以看開很多
聽音樂只要摒除一個聲音，倫抱怨在家裡唸書莫名被炒 要不要吃水果 跟何ㄟ一樣要不要吃水餃
倫 討厭 害怕讓自己失控 
春艷：夜生活就是享受讓自己失控
倫在夜店玩數讀
夜生活的抓馬才是令人討厭的事情  認識人越多越容易有這種事情
夜生活全都是慾望
人生中只有分清楚什麼是你需要什麼是想要
倫：今天沒有產能 好爽喔
交大八舍烤香腸 https://www.youtube.com/watch?v=9QTBDJU3QoI&t=1s
Leo王x3小湯x春艷 種瓜得瓜種dope得dope
Leo王 x 3小湯 x 春艷 - 種瓜得瓜種dope得dope (Audio)
玖壹壹 癡情男子漢（聽到哭） 
陳零九 Nine Chen feat. 玖壹壹 Nine One One【癡情的男子漢】Official Live Video
謝和弦 feat. 陳零九 每個玩音樂的人 
謝和弦 R-chord – 每一個玩音樂的人 Music is our dream Feat.玖壹壹、陳零九  (華納 Official 高畫質 HD 官方完整版 MV)
夜貓組 Power Bomb （代言歌）
夜貓能量來襲│PowerBOMB爆能 x 夜貓組(Leo王+春艷)

",/
EP42,你的手機桌面是,"我看球就會輸 談糗爺
阿英從小就對故意捉弄小孩喝酒的事情反對
本產品有六大特點 好喝好喝好喝好喝好喝好喝
女友先偷喝XO剩半瓶 覺得倒酒自己像教父
茶葉蛋配麥香紅茶
開完球之後喝開喜烏龍茶微糖 跟FIN一樣
PTT分析各種運動飲料 FIN是可以狂喝的
家倫不喝湯跟性觀念一樣是0
逞誠很愛喝湯 喜歡熱的
蛋餅是屬地主義
家倫蛋餅配奶茶  韭菜盒配豆漿（中式都配豆漿）
逞誠蘿蔔糕配貢丸湯
荷包蛋有人配蕃茄醬 通常都配清醬油
偷過人家羊乳嗎 逞誠惡搞偷一次 因為家裡都訂原味 跑去跟別人家換 被抓到道歉
學生時期零用錢
家倫國中就沒吃團膳
逞誠吃團膳都會聽到水晶音樂都播宮崎駿
逞誠都開源就好幹嘛節流
小時候換取零用錢方式
沒洗過碗 被阿姨說是少爺
家倫爸從屏東上台北 被耳提面命不能賭跟毒 也跟家倫提醒
被阿英問有沒有女友問到生氣講自己陽痿
家倫手機封面一直是同一個女生 是吳斐莉 家倫女神
YT演算法越來越奇怪 跑出世界女子田徑大賽 facebook也是出現色情廣告 跟奇怪文章
家倫無腦吹捧吳斐莉超美 有面對面追星
王菲 我也不想這樣",
EP43,一萬兩千公里外的美男子from查德，終於姍姍來遲了！ft.登登,"第一個上台通的客家人
登登對人不對事 
去非洲援交
直接開登登宿舍門去聊天   要邀去聽新生演唱會  被鎖在門外
會用登登電腦看PTT   最後何ㄟ幫忙組 螢幕還是CRT
見到台中人朋友 第一件事情就是問會不會講台語
登登月薪十萬  但沒存款都跑去歐洲玩
學校不選系
逞誠很會軟性地勉強別人 有拒絕的切口
教學看良心  （例如去上廚藝學校 回來教亂七八糟的法語）
",
EP44,上車睡覺，下車尿尿,"00:30 藥膏廣告
進香時 廟周圍都是賣單手可食用的食物
MC 代唸口播稿
台塑仁武廠附近，高速公路旁邊
皇室御用 台灣口罩 冷笑話  
鄉愿型台獨 千萬別幫舔中的說話 他得到太多好處了 
通遊記 一集要三個小時 中國通勤第一品牌 第三個人要找歐陽娜娜 
很猛的人都要舔上級  代表這公司很好
多帶槍機？？ 談巴結 送菸
逞誠改口認為多罵一點歐陽娜娜 
倫認為沒差 因為他不是太有影響力 要做什麼隨便他
中國人對於不自由特別敏感
朋友保時捷打工經驗 
揮霍而珍惜是 同一件事情  // 關於我愛你 -張懸
丁丁買車 享七折優惠 前十名掛牌wbliao0-9
好色龍 翻譯就是信雅達  就是屌
口袋撿到牙齒",
EP45,健康是人生的第一財富,"聲音分兩軌
XD OMG OGC
三角函數跟機率
有位學長是法律系畢業的，是訟棍
賭博末世錄被說是搞笑漫畫 
誠：裝Ｂ推FUGAZI，便當店工作不會放啦。
倫：裝Ｂ就是要挑你不會推薦給別人的東西。懂的才知道你懂。",
EP46,流浪錄音生活第一夜 ft.劇作家南宮邱邱,"朱雪彰 朱雪肛
瓜張 
接觸年輕人的文化  呱吉自認很 
濫用職權跟人上床？
蛇窩開始整修 所以到呱吉辦公室錄音
業配lalamove
差點當上終極三國編劇
呱吉 很愛 李心潔 愛錯
推PTU 好片
家倫有演過學生製作的片好像有上過台北影展
最玻璃心議員? 苦無證據  想出苦無 插在什麼上面的周邊
說明大巨蛋事情
為什麼呱吉要一直發會被罵的文章  因為想走出同溫層
像鍾佳播一樣容易生氣
網路成癮程度 像 剛割過包皮的程度
下空怪-逞誠沒割包皮
美屌大賽
台通宇宙的呱吉是老gay  不要說是玻璃心議員  是玻璃議員
偉偉的學長是訴棍  很會網路釣魚 逞誠有個朋友是訟棍，靠在網路上告人賺錢
呱吉老婆覺得草屯囝仔可以 911不行
怎麼面對過氣的焦慮  最後留下來就是不好意思離開的
暗指助理東燁的爸爸是韓粉
哈雷彗星",
EP47,流浪錄音生活第二夜 ft.thisisken,"江湖在走 花名（？）要有
商周採訪拒絕被刊登本名的百靈果
聊天會爆出彼此本名的台通 會好奇別人本名跟籍貫的逞誠
拒絕英文名字的逞誠 英文名字就是上課用
倫倫=ALLEN 因為長很高曾經叫Jorden
Ken的改名史 英文名字的使用情境
遊戲ID轉換到現實生活 逞誠坦承盜用何ㄟ帳號SIXWAY
到底是陳致中召妓 還是誠摯終招忌
清明時節雨紛紛小故事
討論KEN的人物誌前 探討百靈果粉絲
上海是進階版台北是不是中共同路人 其實台通是綠營側翼
兩岸關係其實是檢討被害人
跟凱莉認識的淵源是太陽花和扶輪社
如何入會扶輪社？扶輪社的老年及青年的差異
倫倫參與轉生前的百靈果 大家討論對凱莉的印象及永遠都會遺失東西魔術手
百靈果二人互看不順眼到合作無間 繞了一圈都是凱莉宇宙
遇到攻擊的心態調適 不爽就開罵 網路攻擊不看就好

突如其來的業配:高雄電影節 但遠到KEN不想去

來百靈果錄音收到柚子伴手禮 可呱吉以搶得先機

逞誠與家倫去看VR同志電影：霧中 看完會怕怕

真。異男悄悄話 逞誠在懷疑自己是不是躲女生
凱莉叫KEN學會承擔

跟政治立場相左的人聊天很有趣 在網路很兇但現實嘴很軟

BLM與中國的少年包青天 其實中國很自由(?)
美國與加拿大的種族歧視與台灣的文化差異

少年KEN住過的加拿大 倫倫的加拿大刻板印象

不知道塗黑臉嘲笑的原由的倫倫沒有國際觀
台灣的歧視是東南亞人 台灣會不會哪天有新住民選上立委

KEN對凱莉的抱怨大會 逞誠跟凱莉共享倫倫 抱怨完還感謝彼此

百靈果對未來的規劃


誠摯終招嫉 用瀾叫貢九逃  清明十傑與紛紛
【無料福利社 EP4：我的義大利麵才沒有那麼靈驗】
家倫參與百靈果 前身無料福利社

BLM 少年包青天
高雄電影節 VR 霧中 講錯導演姓氏講成林
萬千花蕊慈母悲哀",
EP48,流浪錄音生活最終夜之一波三折,"早上10:30 點咖啡順便加甜點 來了一份冰淇淋 冰淇淋算甜點嗎、請別人買麥香雞 結果只有單點一個漢堡 誠預設是一個餐
倫會問餐嗎 或是確定飲料 有說要什麼飲料那就是套餐
親近的人才會雞雞歪歪
高一聽眾來信分享困擾 考不好爸爸刁難、選組問題 高一弟弟想選文組
誠家不摺棉被 倫也不懂有什麼好摺的 反正都睡覺都要蓋 但是倫家會問有沒有摺棉被
真的沒特別有興趣就選理組 要轉文比較容易
加油站的弟弟在閒聊改車 
交女朋友（喜歡一個人）比選組還麻煩
誠誠以前高中要搭30分鐘左右的車 會記得搭哪一班哪站有漂亮女生上車
耍帥 刻意營造讓人家喜歡你 很糗 沒有成功經驗分享
誠高中試聽補習班 記得去之前買宇多田的專輯 到補習班要拆開 跟隔壁女生聊到幾句 心動 然後就沒了
被老爸煩 煩回去 問老爸第一次喜歡女生的經歷 諜對諜
誠舉例 媽媽說幾點回家 就以五分鐘為限慢慢延後回家的時間
倫分享 成績出來 回家先哭 什麼都不要說 開始演自己很爛很可憐or失戀、如果讀男校改問有沒有可能喜歡男生
家倫高中數學也不好 但學測考14級分、誠念高中 弟弟高職 妹妹體育班
人生其實很多時候都是浪費時間（誠35年裡大概浪費28年 躺在沙發想要不要課金）努力就是為了浪費時間
倫學弟去台積電 在停車場看到很多重機 被同事說你仔細看上面都是灰塵
懷疑可以用打手槍騙過計步器
44:48討論國片 無聲  推推、倫不喜國片因為台詞很尬","和田加奈子 - Dreamin' Lady
https://www.youtube.com/watch?v=xWGvSoA4xgY&ab_channel=KanakoWada-Topic"
EP49,自羽為高材生,"業配【 2020駁二嬉啤派對-哭妖祭】，主視覺廖小子設計(主視覺解說部份由L家大哥說明，L家台通機器人代為發布)

瑜亮情結 何氏鋪陳 何ㄟ初登板上節目
倫倫在房間教何ㄟ ，手把手教完何A後，把最後一步留給他
何ㄟ分手後因為被逞誠說敝帚自珍 一個月不說話 最後還是示軟了(示弱?!)
 何ㄟ玩的遊戲是 Kerbal Space Program 跟 https://iss-sim.spacex.com/?fbclid=IwAR0K99ZKpoeQtujS8sMYNLDUV_HgqmwYn8PtL653XSLTilJyqeOejcjlZWo
提到何家買了單眼相機、紅酒開瓶器＋配件除濕櫃
「點子從執行到量產，差超多的！」
「ㄟㄟ 我有想到一個企劃超屌的 一定沒人做過」
「那你有沒有想過為甚麼沒人做過？」路邊推車賣便當 遇到阿伯
絕妙好點子都是有人想過的
GARMIN 手持衛星導航 
何ㄟ爸沒車卻買導航 何ㄟ媽媽手持拿導航去菜市場買菜 何ㄟ媽：很方便哦，勁旻！
原神 薩爾達傳說
講灌籃高手是從搶籃板球切入很讚是哪一集（回歸本群組本業？）My friends call me 何何 you can call me何ㄟ   學機器戰警
「我不是致敬，致敬好虛偽，我就是抄」
碧玉有演黑暗中跳舞",
EP50,0800-770-885," 何ㄟ做開場當主持人
提到會去GQ訪問
本週highlight 家倫 維持十三年高中同學聚餐 銅板烤肉
何ㄟ：主持人一定要坐很久嗎？
何ㄟ目標重返榮耀 有達到就好
倫開始乾笑
Good shit /Deep shit 何式發明
何ㄟ小提中秋失態
何ㄟ喊話 傑勳 聽到沒
逞誠highlight 何ㄟ來上節目
何ㄟ模仿呱吉  歐麥尬  ㄍㄠˊㄟ 侯ㄟ
何ㄟhighlight 就是把便當店的排油煙機多了抽風罩
何ㄟ 總結 每一週都有一些開心跟不好的事情  就是記著自己的highlight go on ，上坡可能是禮拜一或禮拜二，保持的上週有好事發生 ，看這週有什麼囉
何ㄟ需要人鼓勵的人  但不可以一直鼓勵會飛上天
理性的勸說 女性的勸說 女生講比較有效
何ㄟ 哇頭家捏  下雨天跟女友騎車去大稻埕拿小東西  拿完朋友說下一站要去六張犁面交   何ㄟ忍到最後才發牢騷
成癮 由戒菸開始聊起 逞誠看「1000萬人都說有效的輕鬆戒菸法」後戒菸
何ㄟ戒菸真的酷 關心戒菸的逞誠會不會寂寞 菸友變少了有種被遺落的感覺 成功的話就是比戒菸失敗的人屌 優秀  只是要證明自己可以 戒菸的滿足 早起就晨勃
：「一般人會做蠢事，聰明的人會做非常蠢的事。」 羅伯特．查爾斯．威爾森《穿越時空的巨石碑》書中摘錄---
他說：「蠢人會做蠢事，但亞當聰明到會做非常蠹的事。
家倫覺得對菸癮者 健康絕對不是動機 倫爸的戒菸故事 是家倫小時候跟鄰居玩 鄰居裝抽菸 但小家倫用超正確的姿勢 表演  倫爸就此不抽
ted的戒毒影片介紹
https://www.ted.com/talks/johann_hari_everything_you_think_you_know_about_addiction_is_wrong/up-next?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare&fbclid=IwAR1lsE67MXb0Xr761Zr7VCmQYCD2cpfBP7aGG_8GXT_1U_uQvYG-QZVibbk
提警察朋友遇到有媽媽偷小孩午餐錢去買毒品
推薦看報導者的文章 安毒幽靈──毒梟・死囚・施用者，台灣人在亞洲的毒品「長征」 - 報導者The Reporter
跟偉偉討論要不要雇用更生人
提絕命毒師 不在意成不成癮 只討論能不能做好工作做不好就滾
斧頭被小孩偷走的故事
苛政猛於虎 柯粉猛於？
便當店員工 阿輝 很屁  偉偉人很少 會幫阿輝理財規劃
警察朋友要移送成癮者前 跟成癮者女兒說 爸爸只是做錯事 不是壞人  爸爸出來還是要愛他
顯卡已經完成1/3
如果真的有成癮者不要責怪家人 要用一定是哪裡有困難去關心家人
提到 知道灌籃高手 說錯了 
台通整個節目上第一名 何ㄟ就哼主題曲 不求長久 只求一時榮耀
何ㄟ159.5公分",Pearl Jam - Do the Evolution
EP51,研究顯示你知道的太多了 ft. 事物所 Incrediville,"事務所的豪ㄟ 最早開始為了衝量還去買了兩千個印度帳號來衝讚
地球上藍色的生物很少 之討論
提到欒教授節目錄完的但講的太難 還沒剪
事務所豪豪說自己是廣告業 去店裡說矮矮壯壯的 偉偉就知道是誰了
師大分部 數學館 顏色奇怪看就知道了
只想當胡瓜沒有要當謝震武
美國數據跟台灣就不太適用  20 跟 50歲創業 不是因為老就提高
矮的人比較會聊天  何ㄟ很敢聊天
 豪豪覺得家倫因為高 不需要做其他事情 有帥哥病
豪ㄟ建中 輔大政治
逞誠 文組不會有選擇  只能被選 我投十個 不知道誰要我 給你個面試的機會
麥克雞塊業配
Rufous 蜂蜜肉桂拿鐵
土城  旁邊加犬部或口部
豪ㄟ 朱家是被詛咒的家族 
何ㄟ邏輯奇怪是 土城的功勞還是土城的錯  還是板中的錯
破碎的知識 是適合探索 自我探索
唸文科不會迷惘 就考國考
高中時期幾乎沒機會知道大學是學到什麼
追求興趣不一定會成功 但是給自己台階下
是騎士才能成為龍騎士
之後要做新的領域 動畫類 新手開局抽魔關羽
在TINDER實驗 說冷知識都會說 「喔」
YT 「祐來了」 做 高斯槍
豪豪 推 「黃色書刊」「洋蔥」「好笑刺青店」
逞誠是推 beach house bloom 整張專輯
beach house space song",濁水溪公社——留在台西鄉賺錢
EP52,剛剛不是在線上嗎?,"擁何派跟何終派／非何家園
IG使用探索中、台通帳號名稱早知道縮減、拍照技術與修圖軟體的糾葛
百靈果佈道大會 9:00-20:00 兩萬人次/2（經過樓梯人次）
交友軟體男生貌似故意不想聽 台通，男女價值選邊選錯->帥哥糗都可愛
誠：偏好陪伴的浪漫，留意的浪漫
倫：你覺得織圍巾算浪漫嗎？
誠：苦無對象者，反著押 反正頂多更慘 就是你覺得帥的就不要做 很糗的就做下去(16:30左右)
業配新BGM
股癌建議 一定要求婚！
定義浪漫：不計成敗／一直做就是浪漫
倫：年輕流行-誇張盛大的告白，走廊點滿兩排蠟燭+音響->轉圈跳舞!
附中病：附中男帶喜歡的女生逛附中，一定是想追妳
戰鬥哥、我好興奮梗圖、挖ㄟ噴火龍、無用男Rain
從廢片 → 年輕時的勇氣 → 年紀越大包袱越重講到分享這件事也是在治癒自己，真的是很會講
誠：所以說這是一個迴向
留面子，也是一種溫柔的浪漫
《女人香》",
EP53,沐浴，是個人衛生活動，但也可能在社交場合,"土城人的羈絆、重返榮耀、小何來第三集之正式介紹
放火被笑包莖，處理得很好、何a的包莖故事 展現人格特質（瘋癲大學時期故事）
誠誠喜歡欺負何a 但是不准別人欺負他、在玩啦（何a國小跟同學玩流鼻血的遊戲、誠覺得是霸凌 但何a覺得是在玩，誠誠從此知道這個朋友可以交）
大學的浴室很恐怖，會一起去洗澡、何a怕蟲：有一次洗到一半看到蚱蜢，何a知道誠一定會搞他先出聲警告 但誠還是照丟 何a馬上衝出去
大學室友一起去陽明山泡湯，何a喜歡吹噓自己ㄐㄐ很大，很在意ㄐㄐ大小、到處問沒（誠晨勃 何a直接握起來：小子不錯喔、然後抓誠的手去握自己的ㄐㄐ說你看有沒有跟你同等級）趁著泡湯的機會何a想證明自己的ㄐㄐ，但是冬天無法正常發揮、泡湯 湯濁濁的很像+何a有包莖=狂開玩笑
包莖小何->莖哥，學弟妹也會叫莖哥，誠：全中文系只有你包莖、又矮又包莖很罕見。何到的時候才豁然開朗，發現包莖其實很正常，以前都被李毅誠騙，在高鐵上狂砲誠
倫倫的聯絡人名稱：何a-莖哥刺秦王、何a只准許中央文學院的叫莖哥、何a個人美學：AV女優當媽媽後會刪掉所有他的A片
下半場32分左右葉配 sony耳機、用了要還 可惜(用的是joeman戴過的不是宥嘉)
ㄐㄐ問題的和解、deep shit real shit、男性魅力&自尊
誠跟何一起看過的電影-夜奔(同志電影)、大學時期何a狂抓片子 不懂選片邏輯",蕭亞軒-夜
EP54,小行星185364,"現在回去看聖鬥士星矢，很糞耶
孫維新館長
台灣科學節
爆雷參考時辰表",
EP55,再奉獻一次 ft.精釀情人劇場前男友Yuming,"啤酒土狗老闆
寶貝懂狗（結果真的用這名字開二店）
破解考試出題心法
Plain-me 品牌服裝第一站業配  順便配法白聯名款
宣傳陳家聲工作室 的劇",
EP56,深夜拾獲大哥大 ft.堯哥,犀牛盾業配,
EP57,成人之美,"家倫是念舊的人、康輔寫字氣球還留著
何ㄟ會收集朋友的名片（誠：轉職過程）表示還重視這個人／這件事
何ㄟ會看一下fb好友，回顧如何認識，還看回顧確認發生甚麼事情（誠：因為平常都亂講，會有虛實交錯的狀況）
何ㄟ喜歡去日本蒐集咖啡罐，沒有買到重複的（純純的愛延續）
便當店有放小小公仔（友人補充幸福能源）
為了情感而吃(到了倫敦還是要吃刈包)
家倫跟高ㄧ在社團的第一任女友寫交換日記，100天分手
跟有內線消息的同學打賭暑前分手
相信之術
個性不同，導致結局不一樣，何ㄟ要追根究柢
分手應該要乾淨俐落?
何ㄟ被提分手很多莫名其妙的，誠不是很好的陪伴對象（雷）
家倫與初戀前女友的成人之美（家長認證都OK，陪前女友跟現在度過暑，三人行看電影）
誠 第一次買保險套買到量販裝保險套
平均水準——八方雲集",
EP58,初次換證就上手！,"逞誠對美是客觀派 倫主觀派 何ㄟ我是麥嘎哇派丟賀阿
中天換照不過   沈伯洋教授 「積極製造新聞」和「新聞未查證」是兩個不同等級的事情
中天報導整理 https://www.facebook.com/twdrug/posts/3734631143235373
倫倫是想知道議題 跟 逞誠是想理解議題所以會去查資料跟別人評論
倫倫提到美劇 #新聞急先鋒/新聞編輯室/ The Newsroom 影集  內容提到 好新聞的標準 會不會影響投票選擇 提出來的論點是不是現階段最好論點 有沒有歷史背景
TOTO 免治馬桶業配 用日文 韓文念 英國腔 德文念   sorry mate 
德文是在學Dark   語尾Scheiße 其實是德文中的髒話
何ㄟ表示 免治馬桶沖到屁眼很舒爽
對於被問萊豬問題 都要回都吃雞 蜈蚣
提到去偉偉跟何ㄟ去倫倫家吃飯 為了學滷牛肉 倫媽廚藝很好 倫爸要分不冰的啤酒給何ㄟ喝
都吃到不新鮮的番茄醬 難怪覺得壞掉的豆腐好吃？
逞誠家番茄醬罐貼紙都被撕掉
何ㄟ家都有三四罐 因為被問的時候都說沒了拉
大一時 何ㄟ借走逞誠的機車 沒油了還說有拉加很多拉  （何ㄟ找我玩）
何ㄟ提到白金業務員Netflix",
EP59,「有了限制就自由了。」,"片頭曲就在講話 倫每次聽到都想笑 覺得怪
得獎 鼓勵創作者、金馬獎剛結束 今年家倫報復性看國片
最佳新演員 無聲的陳姸霏、男配角納豆->講到堯哥
家倫其實聽得懂台語 避免被噴以後加裝台語警報 但是這樣倫就很水
之前訪問堯哥後悔沒問的問題 為什麼一直找納豆演 納豆演得很好 就是標準跤仔kha-á(跑腿小弟)
動漫人物例子：灌籃高手的安田、周杰倫身邊很多 
想當文青、跟同學一樣酷 大家都看很多書/電影/聽很多歌 要從哪裡開始
開始鑑賞的簡單方法 看得獎的影片和同時期競爭的片子、導演/演員的片（誠誠都會看李奧納多的片 神鬼獵人好看
重複介紹自己 倫自介-對世間看淡的無性欲男子、誠:太內心了 應該要講 外省人 家裡有棟房子->倫:長髮胖子、誠-閩南人 喜歡下空 冰箱小偷
現在再拍一次終極三國應該會更好看（嗯...?）麻辣鮮師一定可以更好看
包青天就沒辦法重拍(是不能塗黑還是難以超越...?) 無法請人唱片尾曲 黃安人在中國、新鴛鴦蝴蝶夢是精隨、黃安就是跤仔
中國宣布不參加金馬獎 其實沒差、現在中國審查機制更嚴格 很多題材不能拍 不能講殺、莫子儀的得獎感言 敬自由
插播：誠誠的女朋友現在晉升為老婆了 沒在節目宣布很像出門拔掉婚戒
華文圈裡  台灣的作品創作是自由的、細頸瓶不能講 會被禁、不能拍神怪 轉生、敏感詞
youtube也有審查 越來越嚴格 所以才會去pornhub/轉做podcast
誠不喜歡被頒獎 覺得很糗 因為沒有很認真念書但因為考得好可以上台 很怪
倫是比賽型選手 課業不好但是大考都很厲害、把課本做成精華筆記 同學還來借（因為課本廢話太多）
誠跟老婆都不是浪漫的人 只有去登記、但誠沒求婚 只是問對方 好像差不多了要結婚嗎、誠禮拜六登記 禮拜五晚上才跟爸媽講",秋天別來
EP60,"從小頑固到大(上) ft.3Q仔	","訪問要用台語還是華語(台北話)   柯文哲在台北當市長都講 台北話
3Q渾身都是政治、出生4000多克 是獨生子 爸媽離婚結婚三次（跟選區的對手一樣）
當電影主管面試時問爸媽的生日 不知道不用 代表不關心身邊的人
爸爸很嚴格 希望孩子是個乖寶寶 但是爸爸本身不乖 要小孩不要交壞朋友、不要太晚回家、不可以打電動 但是自己都做了
媽媽很放任 小孩自由成長 小時候要去按飲水機的熱水 按之前還看看媽媽  媽媽說你按阿
3Q國中沾染了跳舞機的惡習 後來跳出名聲 可以免費玩 有幾首歌跳到第一名 後來去查海外版比日本版的跳舞機排名還遜（日文是有節奏的）
壘球隊隊長、先教規則再教技巧 教育理念
等對手宣布敗選才出面 被記者叫出門
一秒24張 一分鐘的動畫要1440張 動畫九階段
國小是考試入學 讀電腦班 一學期學費4萬多 從386開始摸電腦 班上同學都很優秀 高雄市前三名去考的 1/3在國外 只有3Q在做立委、電腦班只維持10年 國中也讀資訊資優班 去鬼屋打工演鬼
高中打定主意不考聯考 到處考試 鎖定學費便宜的 警大體大都去靠",
EP61,"從小頑固到大(下) ft.3Q仔	","民調落差
一直往前走的破風手
介紹選區給女朋友 浪漫
3Q陪客戶去酒店 聖人模式
去中國很容易落塞",謝銘祐-路
EP62,推銷員之死去活來,"搜尋紀錄 小狗會怕的聲音、真理褲/美金台幣、老人腳麻
何ㄟ對阿爆唱「我a麻吉底堆」，結果阿爆被經紀人推走的畫面　
何ㄟ用大象的聲音讓小寶冷靜
何ㄟ第一份工作是在光華商場賣筆電 做了十七天而已 打電話離職

網路 小何 賣茶阿姨 茶葉推銷
53:34 逞誠高鐵痛飆賣愛心筆妹 家倫
何ㄟ加班打世紀 25:40",落日飛車-libidream
EP63,提早一個小時上班,"小磨坊之歌
芭樂乾之歌
何A、逞誠、偉偉的便當店工作心法","伍思凱-祝你生日快樂
OREA"
EP64,今天不談奈米光子學 ft.皮皮老師,,
EP65,最佳女主角 ft.小芳芳,台通第一位女性來賓,
EP66,所有這些時刻都將消逝在時間裡，就像雨中的淚水。,"0:33        逞誠喜歡冬粉，煮雙粉（米粉加冬粉）
3:19        cyberpunk 的定義
5:40        cyberpunk2077 遊戲，家倫設定女性
9:30        遊戲支線 偵探情節
15:31        星際爭霸戰是烏托邦設定
18:22        市長炫耀犯罪率下降、GDP上升
20:00        cyberpunk的生活：有一餐沒一餐 但有iPhone
21:20        每個人能忍受的苦是不同的
22:40        從鼻子抽出牙線、消痔丸退火
25:30        家倫:米粉加冬粉就是啤兒綠茶
26:10        禿頭救星裝太陽能板，為了不反光沒禮貌遮一下
28:30        日本人用設定家電，但當機，冷死
29:00        手指改螺絲起子，食指裝筆、中指裝雷射筆、大拇指裝掃描翻譯器掃完會顯示在視網膜上、左大拇指 磁鐵 絨毛 魔鬼氈
                決定非慣用手 大拇指拿來掃指紋
33:29        家倫對於植入東西都會怕
37:15        用機器操作魔法-打火機
42:26        Johnny的味道就是經典的味道、神之雫
47:20        討論忒修斯之船，家倫普拉斯 加人工關節
56:00        IBM改賣肥料
57:58        牙線快用完鼻子會越來越低，水刀牙線 可以幫別人洗牙
60:00        好的主題曲聽到就會想起劇情",
EP67,穿全黑更健康？從一條龍到讀稿機，資訊設計的商業之道？！｜ feat.志祺77,"影片版 鮮🦐挺就對了！志祺上台通錄 Podcast 大聊創業與阿宅！ft.台灣通勤第一品牌《 好奇七七探索日記 》EP018｜志祺七七
0:40 簡介志琪
3:05 多餘的產能＝冗員
4:40 社會安全網
14:18 線上課程是設計圈的被動收入（像藍鑽直銷常說的）
16:36 怎樣才會認真工作  揹房貸、養員工
26:10 為什麼不把台通放上youtube
27:33 歡樂無法黨挫折對志琪印象最深刻
28:40反串後面要加備註
29:47 刀劍神域最後篇超難看（志琪）
32:25 不要害怕空虛的損失
34:00 不喜歡請不去學校，不會有點不舒服就請在家，怕與朋友脫節
36:44 我們國軍都是一條龍作業的，你就是那條龍，都是人才
40:36冒牌者效應 逞誠想達到張菲胡瓜一樣講平淡的話但很有趣
43:00 維持心態的健康
勇者赫魯庫 迷宮飯
46:30 外送便當去內湖是個好思考問題的時間
47:32 廁所內一個人思考
51:10 志琪被黑沒那麼宅 沾邊  玩魔風卡牌遊戲
54:15 宅就在這裡 他沒有脫離 交了朋友 對異性有興趣就不會玩了
55:30 GameCube的手把做超好也耐用 皮克敏 天才遊戲
57:17 人造人機器人 遊戲王卡牌很屌
59:12 涼宮春日 吳宗憲 負面形容宅男事件 電車男 背包會插海報 （四葉妹妹事件的逞也是吳宗憲）
60:55 家倫的美少女戰士事件與志琪分享  庫洛魔法使 夢幻遊戲；逞誠 看GTO 功夫炫風兒-柔道篇  城市風雲兒（青山剛昌 柯南作者 算是曾經有正常結構的漫畫）
62:27 脫離宅 是在大學時期 彈吉他
64:10 王蟲與志琪的關係
65:12 王蟲透明罩 這就是我的社會安全網吧 這個殼超堅硬的
65:37 keroro與志琪
67:30 高中玩吉他社團 成績很差 家長問他要不要認真做音樂，不要做事情半調子
70:39 志琪打書 出版社是天下
73:17 志琪最近的挫折
75:47 不知道的事情才要討論  逞誠喜歡以為自己準備好了但被打臉，這樣比較會進步

逞誠看東西不看完
推薦 康士坦的變化球 擱淺的人",
